k_1: 75, k_3: 50, e: 0.01000, score: 0.27826386 
k_1: 75, k_3: 75, e: 0.00050, score: 0.30121206 
k_1: 75, k_3: 75, e: 0.00100, score: 0.16597271 
k_1: 75, k_3: 75, e: 0.00500, score: 0.16766880 
k_1: 75, k_3: 75, e: 0.01000, score: 0.26970850 
k_1: 75, k_3: 100, e: 0.00050, score: 0.39868440 
k_1: 75, k_3: 100, e: 0.00100, score: 0.40081513 
k_1: 75, k_3: 100, e: 0.00500, score: 0.28182086 
k_1: 75, k_3: 100, e: 0.01000, score: 0.27473424 
k_1: 100, k_3: 10, e: 0.00050, score: 0.19554641 
k_1: 100, k_3: 10, e: 0.00100, score: 0.17855212 
k_1: 100, k_3: 10, e: 0.00500, score: 0.17252379 
k_1: 100, k_3: 10, e: 0.01000, score: 0.17396148 
k_1: 100, k_3: 20, e: 0.00050, score: 0.19314951 
k_1: 100, k_3: 20, e: 0.00100, score: 0.17548591 
k_1: 100, k_3: 20, e: 0.00500, score: 0.17133082 
k_1: 100, k_3: 20, e: 0.01000, score: 0.28423329 
k_1: 100, k_3: 30, e: 0.00050, score: 0.18636786 
k_1: 100, k_3: 30, e: 0.00100, score: 0.17339718 
k_1: 100, k_3: 30, e: 0.00500, score: 0.28541987 
k_1: 100, k_3: 30, e: 0.01000, score: 0.27648284 
k_1: 100, k_3: 40, e: 0.00050, score: 0.32861988 
k_1: 100, k_3: 40, e: 0.00100, score: 0.32334394 
k_1: 100, k_3: 40, e: 0.00500, score: 0.28866369 
k_1: 100, k_3: 40, e: 0.01000, score: 0.28542353 
k_1: 100, k_3: 50, e: 0.00050, score: 0.32040237 
k_1: 100, k_3: 50, e: 0.00100, score: 0.29637944 
k_1: 100, k_3: 50, e: 0.00500, score: 0.28956994 
k_1: 100, k_3: 50, e: 0.01000, score: 0.28285404 
k_1: 100, k_3: 75, e: 0.00050, score: 0.30599126 
k_1: 100, k_3: 75, e: 0.00100, score: 0.29497462 
k_1: 100, k_3: 75, e: 0.00500, score: 0.28739903 
k_1: 100, k_3: 75, e: 0.01000, score: 0.27206066 
k_1: 100, k_3: 100, e: 0.00050, score: 0.40975673 
k_1: 100, k_3: 100, e: 0.00100, score: 0.40561031 
k_1: 100, k_3: 100, e: 0.00500, score: 0.28643753 
k_1: 100, k_3: 100, e: 0.01000, score: 0.27181549 
