k_1: 10, k_2: 50, k_3: 40, e: 0.00500, score: 0.01154404 
k_1: 10, k_2: 50, k_3: 40, e: 0.01000, score: 0.01306577 
k_1: 10, k_2: 50, k_3: 50, e: 0.00050, score: 0.38953177 
k_1: 10, k_2: 50, k_3: 50, e: 0.00100, score: 0.38968785 
k_1: 10, k_2: 50, k_3: 50, e: 0.00500, score: 0.39223523 
k_1: 10, k_2: 50, k_3: 50, e: 0.01000, score: 0.40035674 
k_1: 10, k_2: 50, k_3: 75, e: 0.00050, score: 0.01261984 
k_1: 10, k_2: 50, k_3: 75, e: 0.00100, score: 0.01093645 
k_1: 10, k_2: 50, k_3: 75, e: 0.00500, score: 0.01108696 
k_1: 10, k_2: 50, k_3: 75, e: 0.01000, score: 0.01515050 
k_1: 10, k_2: 50, k_3: 100, e: 0.00050, score: 0.01214047 
k_1: 10, k_2: 50, k_3: 100, e: 0.00100, score: 0.01054627 
k_1: 10, k_2: 50, k_3: 100, e: 0.00500, score: 0.01094760 
k_1: 10, k_2: 50, k_3: 100, e: 0.01000, score: 0.01367893 
k_1: 10, k_2: 75, k_3: 10, e: 0.00050, score: 0.59659420 
k_1: 10, k_2: 75, k_3: 10, e: 0.00100, score: 0.59273133 
k_1: 10, k_2: 75, k_3: 10, e: 0.00500, score: 0.59166109 
k_1: 10, k_2: 75, k_3: 10, e: 0.01000, score: 0.61698997 
k_1: 10, k_2: 75, k_3: 20, e: 0.00050, score: 0.42261984 
k_1: 10, k_2: 75, k_3: 20, e: 0.00100, score: 0.42256410 
k_1: 10, k_2: 75, k_3: 20, e: 0.00500, score: 0.41523969 
k_1: 10, k_2: 75, k_3: 20, e: 0.01000, score: 0.44984392 
k_1: 10, k_2: 75, k_3: 30, e: 0.00050, score: 0.01077480 
k_1: 10, k_2: 75, k_3: 30, e: 0.00100, score: 0.01090858 
k_1: 10, k_2: 75, k_3: 30, e: 0.00500, score: 0.39104236 
k_1: 10, k_2: 75, k_3: 30, e: 0.01000, score: 0.39458751 
k_1: 10, k_2: 75, k_3: 40, e: 0.00050, score: 0.01137681 
k_1: 10, k_2: 75, k_3: 40, e: 0.00100, score: 0.01113712 
k_1: 10, k_2: 75, k_3: 40, e: 0.00500, score: 0.01151059 
k_1: 10, k_2: 75, k_3: 40, e: 0.01000, score: 0.01318841 
k_1: 10, k_2: 75, k_3: 50, e: 0.00050, score: 0.38942029 
k_1: 10, k_2: 75, k_3: 50, e: 0.00100, score: 0.38979376 
k_1: 10, k_2: 75, k_3: 50, e: 0.00500, score: 0.39224080 
k_1: 10, k_2: 75, k_3: 50, e: 0.01000, score: 0.39987737 
k_1: 10, k_2: 75, k_3: 75, e: 0.00050, score: 0.01290412 
k_1: 10, k_2: 75, k_3: 75, e: 0.00100, score: 0.01125418 
k_1: 10, k_2: 75, k_3: 75, e: 0.00500, score: 0.01113712 
k_1: 10, k_2: 75, k_3: 75, e: 0.01000, score: 0.01515050 
k_1: 10, k_2: 75, k_3: 100, e: 0.00050, score: 0.01222965 
k_1: 10, k_2: 75, k_3: 100, e: 0.00100, score: 0.01084727 
k_1: 10, k_2: 75, k_3: 100, e: 0.00500, score: 0.01104794 
k_1: 10, k_2: 75, k_3: 100, e: 0.01000, score: 0.01370680 
k_1: 10, k_2: 100, k_3: 10, e: 0.00050, score: 0.59647157 
k_1: 10, k_2: 100, k_3: 10, e: 0.00100, score: 0.59323300 
k_1: 10, k_2: 100, k_3: 10, e: 0.00500, score: 0.59729654 
k_1: 10, k_2: 100, k_3: 10, e: 0.01000, score: 0.61724080 
k_1: 10, k_2: 100, k_3: 20, e: 0.00050, score: 0.42269788 
k_1: 10, k_2: 100, k_3: 20, e: 0.00100, score: 0.42300446 
k_1: 10, k_2: 100, k_3: 20, e: 0.00500, score: 0.41462653 
k_1: 10, k_2: 100, k_3: 20, e: 0.01000, score: 0.45034002 
k_1: 10, k_2: 100, k_3: 30, e: 0.00050, score: 0.01102564 
k_1: 10, k_2: 100, k_3: 30, e: 0.00100, score: 0.43624303 
k_1: 10, k_2: 100, k_3: 30, e: 0.00500, score: 0.39103679 
k_1: 10, k_2: 100, k_3: 30, e: 0.01000, score: 0.39440357 
k_1: 10, k_2: 100, k_3: 40, e: 0.00050, score: 0.01116499 
k_1: 10, k_2: 100, k_3: 40, e: 0.00100, score: 0.01123746 
k_1: 10, k_2: 100, k_3: 40, e: 0.00500, score: 0.01153846 
k_1: 10, k_2: 100, k_3: 40, e: 0.01000, score: 0.01280379 
k_1: 10, k_2: 100, k_3: 50, e: 0.00050, score: 0.38969900 
k_1: 10, k_2: 100, k_3: 50, e: 0.00100, score: 0.38967113 
k_1: 10, k_2: 100, k_3: 50, e: 0.00500, score: 0.39218506 
k_1: 10, k_2: 100, k_3: 50, e: 0.01000, score: 0.39996098 
k_1: 10, k_2: 100, k_3: 75, e: 0.00050, score: 0.01287068 
k_1: 10, k_2: 100, k_3: 75, e: 0.00100, score: 0.00993868 
k_1: 10, k_2: 100, k_3: 75, e: 0.00500, score: 0.01109810 
k_1: 10, k_2: 100, k_3: 75, e: 0.01000, score: 0.01501672 
k_1: 10, k_2: 100, k_3: 100, e: 0.00050, score: 0.01133779 
k_1: 10, k_2: 100, k_3: 100, e: 0.00100, score: 0.01040134 
k_1: 10, k_2: 100, k_3: 100, e: 0.00500, score: 0.01091416 
k_1: 10, k_2: 100, k_3: 100, e: 0.01000, score: 0.01371237 
k_1: 20, k_2: 10, k_3: 10, e: 0.00050, score: 0.59696210 
k_1: 20, k_2: 10, k_3: 10, e: 0.00100, score: 0.59175028 
k_1: 20, k_2: 10, k_3: 10, e: 0.00500, score: 0.58814939 
k_1: 20, k_2: 10, k_3: 10, e: 0.01000, score: 0.61612598 
k_1: 20, k_2: 10, k_3: 20, e: 0.00050, score: 0.01193423 
k_1: 20, k_2: 10, k_3: 20, e: 0.00100, score: 0.01165552 
k_1: 20, k_2: 10, k_3: 20, e: 0.00500, score: 0.01258640 
k_1: 20, k_2: 10, k_3: 20, e: 0.01000, score: 0.01426421 
k_1: 20, k_2: 10, k_3: 30, e: 0.00050, score: 0.01032330 
k_1: 20, k_2: 10, k_3: 30, e: 0.00100, score: 0.01006689 
k_1: 20, k_2: 10, k_3: 30, e: 0.00500, score: 0.43468227 
k_1: 20, k_2: 10, k_3: 30, e: 0.01000, score: 0.39391862 
k_1: 20, k_2: 10, k_3: 40, e: 0.00050, score: 0.01069677 
