k_1: 20, k_2: 10, k_3: 75, e: 0.00100, score: 0.03747492 
k_1: 20, k_2: 10, k_3: 75, e: 0.00500, score: 0.04792642 
k_1: 20, k_2: 10, k_3: 75, e: 0.01000, score: 0.08857302 
k_1: 20, k_2: 10, k_3: 100, e: 0.00050, score: 0.04095318 
k_1: 20, k_2: 10, k_3: 100, e: 0.00100, score: 0.03866221 
k_1: 20, k_2: 10, k_3: 100, e: 0.00500, score: 0.03761984 
k_1: 20, k_2: 10, k_3: 100, e: 0.01000, score: 0.04359532 
k_1: 20, k_2: 20, k_3: 10, e: 0.00050, score: 0.05585842 
k_1: 20, k_2: 20, k_3: 10, e: 0.00100, score: 0.05236343 
k_1: 20, k_2: 20, k_3: 10, e: 0.00500, score: 0.08246934 
k_1: 20, k_2: 20, k_3: 10, e: 0.01000, score: 0.08581382 
k_1: 20, k_2: 20, k_3: 20, e: 0.00050, score: 0.04889632 
k_1: 20, k_2: 20, k_3: 20, e: 0.00100, score: 0.04338907 
k_1: 20, k_2: 20, k_3: 20, e: 0.00500, score: 0.04779822 
k_1: 20, k_2: 20, k_3: 20, e: 0.01000, score: 0.06217949 
k_1: 20, k_2: 20, k_3: 30, e: 0.00050, score: 0.03880156 
k_1: 20, k_2: 20, k_3: 30, e: 0.00100, score: 0.03732999 
k_1: 20, k_2: 20, k_3: 30, e: 0.00500, score: 0.04274247 
k_1: 20, k_2: 20, k_3: 30, e: 0.01000, score: 0.05681717 
k_1: 20, k_2: 20, k_3: 40, e: 0.00050, score: 0.04258640 
k_1: 20, k_2: 20, k_3: 40, e: 0.00100, score: 0.04185061 
k_1: 20, k_2: 20, k_3: 40, e: 0.00500, score: 0.04535117 
k_1: 20, k_2: 20, k_3: 40, e: 0.01000, score: 0.06683946 
k_1: 20, k_2: 20, k_3: 50, e: 0.00050, score: 0.03921405 
k_1: 20, k_2: 20, k_3: 50, e: 0.00100, score: 0.03634894 
k_1: 20, k_2: 20, k_3: 50, e: 0.00500, score: 0.04756968 
k_1: 20, k_2: 20, k_3: 50, e: 0.01000, score: 0.08007246 
k_1: 20, k_2: 20, k_3: 75, e: 0.00050, score: 0.03973802 
k_1: 20, k_2: 20, k_3: 75, e: 0.00100, score: 0.03786511 
k_1: 20, k_2: 20, k_3: 75, e: 0.00500, score: 0.04659978 
k_1: 20, k_2: 20, k_3: 75, e: 0.01000, score: 0.08848384 
k_1: 20, k_2: 20, k_3: 100, e: 0.00050, score: 0.04393534 
k_1: 20, k_2: 20, k_3: 100, e: 0.00100, score: 0.03841137 
k_1: 20, k_2: 20, k_3: 100, e: 0.00500, score: 0.03767001 
k_1: 20, k_2: 20, k_3: 100, e: 0.01000, score: 0.04345596 
k_1: 20, k_2: 30, k_3: 10, e: 0.00050, score: 0.08161650 
k_1: 20, k_2: 30, k_3: 10, e: 0.00100, score: 0.08096990 
k_1: 20, k_2: 30, k_3: 10, e: 0.00500, score: 0.07173913 
k_1: 20, k_2: 30, k_3: 10, e: 0.01000, score: 0.07599777 
k_1: 20, k_2: 30, k_3: 20, e: 0.00050, score: 0.04831661 
k_1: 20, k_2: 30, k_3: 20, e: 0.00100, score: 0.04788740 
k_1: 20, k_2: 30, k_3: 20, e: 0.00500, score: 0.04407469 
k_1: 20, k_2: 30, k_3: 20, e: 0.01000, score: 0.06298216 
k_1: 20, k_2: 30, k_3: 30, e: 0.00050, score: 0.03910256 
k_1: 20, k_2: 30, k_3: 30, e: 0.00100, score: 0.03758640 
k_1: 20, k_2: 30, k_3: 30, e: 0.00500, score: 0.04212932 
k_1: 20, k_2: 30, k_3: 30, e: 0.01000, score: 0.05683946 
k_1: 20, k_2: 30, k_3: 40, e: 0.00050, score: 0.04234114 
k_1: 20, k_2: 30, k_3: 40, e: 0.00100, score: 0.04175585 
k_1: 20, k_2: 30, k_3: 40, e: 0.00500, score: 0.04692865 
k_1: 20, k_2: 30, k_3: 40, e: 0.01000, score: 0.06754181 
k_1: 20, k_2: 30, k_3: 50, e: 0.00050, score: 0.03776477 
k_1: 20, k_2: 30, k_3: 50, e: 0.00100, score: 0.03624861 
k_1: 20, k_2: 30, k_3: 50, e: 0.00500, score: 0.04671683 
k_1: 20, k_2: 30, k_3: 50, e: 0.01000, score: 0.07988294 
k_1: 20, k_2: 30, k_3: 75, e: 0.00050, score: 0.03923634 
